date,close,high,low,open,quoteVolume,volume,weightedAverage
2016-12-18,3.11299999,3.16000499,2.80364479,2.82153545,199.20187341,613.76960176,3.08114372
2016-12-19,3.03180528,3.113,3.01555817,3.11145376,157.0189659,486.30178109,3.09708943
2016-12-20,2.82387957,3.07770094,2.79859238,2.90993423,64.02471287,188.03887941,2.9369734100000002
2016-12-21,2.81996378,2.9359956,2.73699247,2.79000006,2162.95800932,6191.70202626,2.86260852
2016-12-22,2.74626604,2.94000956,2.6597021400000003,2.81996377,2029.58694403,5575.09345082,2.74691038
2016-12-23,2.48976553,2.87,2.40980558,2.74626603,3692.81456577,9450.42413478,2.55913855
2016-12-24,2.7093177600000002,2.87000001,2.4898282099999998,2.52432588,434.31918451,1173.55945884,2.7020668199999998
2016-12-25,2.74931696,3.11,2.67100053,2.75042493,1163.00222017,3400.59423066,2.92397913
2016-12-26,3.25013129,3.42149348,2.74753155,2.74931699,839.1034656,2602.48782982,3.10151004
2016-12-27,3.45342647,3.5,3.25240623,3.25240623,2973.05746537,10190.17559118,3.4275071
2016-12-28,3.29858977,3.8,3.13000001,3.434538,1875.8296539,6187.69046098,3.29864198
2016-12-29,3.49166753,3.77174435,3.22241774,3.25726051,4016.71158241,14364.87796591,3.57627817
2016-12-30,3.65345785,3.89723217,3.31586108,3.49166753,1336.36087306,4796.99944325,3.58959884
2016-12-31,3.77446298,4.15384036,3.61764852,3.68367422,1341.78692224,5249.74607779,3.91250353
2017-01-01,3.97384394,3.97384394,3.66324469,3.799101,2255.23597981,8786.39210382,3.89599677
2017-01-02,4.1668145,4.2,3.8688000000000002,3.97384394,3509.72353892,14113.06483231,4.02113291
2017-01-03,4.24658171,4.5864132600000005,3.9487456400000003,4.16722924,1609.1897643,6863.68198127,4.26530303
2017-01-04,4.87323871,4.94196009,4.22,4.24658171,5995.79588856,27802.12164744,4.63693597
2017-01-05,5.02500001,5.6,4.14315885,4.84831511,10945.38294028,51976.25740744,4.74869245
2017-01-06,5.19999394,5.28150007,4.40550106,4.97000028,6829.37831653,33024.78021383,4.83569348
2017-01-07,4.68481691,5.17323369,4.20196627,5.17323369,5404.56503254,24209.44074281,4.47944295
2017-01-08,4.55994049,4.8021919,4.4231989800000004,4.69660559,760.82267543,3510.2089504,4.6137018
2017-01-09,4.2343294,4.84467634,4.15,4.60867163,3852.78025813,17391.2394182,4.51394532
2017-01-10,4.18153474,4.39999899,4.15529709,4.29580413,1905.3223627,8176.9283077,4.29162459
2017-01-11,3.79637585,4.24591673,3.6,4.2024424,2543.37867848,9927.44324903,3.90325016
2017-01-12,4.05851785,4.09133028,3.59789682,3.78027804,894.69353885,3421.14211015,3.8238144800000002
2017-01-13,4.30849358,4.40248001,4.0288,4.05772106,1372.40231642,5880.87723999,4.2850971300000005
2017-01-14,4.24305671,4.41031949,4.19360883,4.30849358,2170.02300329,9408.44995826,4.33564526
2017-01-15,4.0766573600000005,4.35117373,3.98000099,4.26140532,510.94805941,2098.93148464,4.10791556
2017-01-16,3.99565888,4.21654883,3.98478992,4.07783192,194.38370933,789.71814384,4.06267658
2017-01-17,4.33225375,4.38,3.99565888,3.9957936,987.14033412,4204.85732507,4.2596348
2017-01-18,4.43116174,4.49999999,4.1,4.33339925,1638.02525435,6800.79500745,4.15182549
2017-01-19,4.47168526,4.54381912,4.33982225,4.4315226,384.33408945,1713.6781533,4.45882423
2017-01-20,4.42153319,4.54392459,4.15605255,4.47168526,475.59944145,2104.15160941,4.42420958
2017-01-21,4.59435063,4.65952636,4.41303694,4.42049999,566.2953116,2592.70681682,4.57836532
2017-01-22,4.6368,4.67,4.38251527,4.59533461,159.45630167,730.73927833,4.582693
2017-01-23,4.57468719,4.69,4.50000001,4.63964706,228.96637032,1057.01586296,4.61646774
2017-01-24,4.29219235,4.5864,4.1892,4.57468719,1388.12267812,6045.07815002,4.35485872
2017-01-25,4.28888266,4.38694584,4.20595467,4.29459202,788.79689785,3343.10418597,4.23823191
2017-01-26,4.17899999,4.42084094,4.17899999,4.28888266,409.03450846,1760.75149466,4.30465268
2017-01-27,4.3042879,4.43160361,4.01,4.17,845.91117523,3592.6913918,4.24712605
2017-01-28,4.24049902,4.3408752,4.04,4.32153787,2841.46551933,11531.21503512,4.05819284
2017-01-29,4.27339116,4.3097904400000004,4.16000009,4.26089954,180.86716086,769.41417384,4.25402914
2017-01-30,4.20714946,4.2892255,4.16,4.27339119,166.03594546,699.89818961,4.21534136
2017-01-31,4.25800638,4.30457997,4.16448711,4.19859792,856.92021879,3634.69860214,4.24158343
2017-02-01,4.20286436,4.2907752200000004,4.04,4.26016022,3821.47507434,15678.12387772,4.10263669
2017-02-02,4.11688452,4.24677451,4.036,4.19778447,2438.89037395,9940.71023901,4.07591515
2017-02-03,4.0323,4.24,3.932,4.08934944,2742.15524768,11086.83281928,4.04310909
2017-02-04,4.1732386,4.259,4.037,4.06139232,1136.59993347,4761.11166202,4.18890721
2017-02-05,4.09074242,4.22134401,4.06,4.17780554,488.28826886,2023.01177541,4.14306856
2017-02-06,4.19482117,4.22240333,4.0376237,4.11503701,571.19996431,2384.5986929,4.17471786
2017-02-07,4.24586319,4.33,4.15956861,4.19482118,648.45751539,2752.94189748,4.24536971
2017-02-08,4.48995672,4.53654634,4.21543939,4.25586632,2017.70724887,8814.73757652,4.36869004
2017-02-09,4.28125442,4.79899718,4.025,4.52766564,3929.47208525,17559.92907046,4.46877562
2017-02-10,4.23346494,4.30435947,4.03455816,4.30435947,749.46019076,3139.30569668,4.18875576
2017-02-11,4.305,4.47078866,4.1860609,4.23346494,1633.94676893,7037.84719475,4.30726834
2017-02-12,4.48,4.48,4.29302531,4.29302533,556.24326589,2415.77707509,4.3430226
2017-02-13,4.33040424,4.75460746,4.27482614,4.49325495,7883.47570456,35853.40071593,4.54791795
2017-02-14,4.7756190499999995,5.2,4.360154,4.360154,1951.69511922,9346.13093334,4.78872485
2017-02-15,4.90652015,4.95480968,4.60769,4.7756190499999995,271.5245183,1303.66577975,4.80128199
2017-02-16,4.95005194,5.1622,4.83513313,4.87531376,1322.44497728,6611.18719417,4.99921532
2017-02-17,4.96700001,5.13294504,4.96439105,4.96880039,167.31483953,847.00693913,5.06235395
2017-02-18,5.08535378,5.11,4.967,4.96700002,677.82037245,3434.127974,5.06642779
2017-02-19,5.21645965,5.23,5.07535382,5.1,1162.86455218,5977.89412865,5.14066244
2017-02-20,5.14774319,5.20504399,5.08,5.1990605500000004,1068.68754167,5458.46609348,5.10763518
2017-02-21,4.6979617000000005,5.12036483,4.5568162,5.12036483,787.19194458,3776.87429078,4.79790769
2017-02-22,4.77395128,4.81609797,4.58975395,4.7259512,445.20667078,2092.96363846,4.70110574
2017-02-23,4.91243186,5.0,4.75,4.76946864,658.78710586,3237.31368757,4.91405138
2017-02-24,4.7663575,5.00008827,4.4327103,4.95222198,3780.67565119,17387.45492187,4.59903375
2017-02-25,4.77782542,4.9777000000000005,4.68763852,4.7663575,942.37226109,4587.46639151,4.86799811
2017-02-26,4.92683112,5.0,4.74648407,4.79163713,980.12175067,4834.7907377,4.9328471
2017-02-27,4.8484389100000005,4.99899895,4.70703041,4.92683112,183.03655091,879.9889016,4.80772226
2017-02-28,4.50878499,4.8999999899999995,4.25,4.84802635,2473.48837511,11262.02817566,4.55309525
2017-03-01,5.12529851,5.12529851,4.41360407,4.55451397,2022.30795303,9551.96031012,4.72329661
2017-03-02,5.83299999,6.6,4.95219455,4.99121118,10854.21432735,64085.9518745,5.90424603
2017-03-03,5.75667854,5.833,5.29100001,5.83299999,2872.48264792,16305.95991251,5.67660867
2017-03-04,5.5728374800000005,5.855873,5.47204936,5.78,1090.8250013,6281.02628714,5.75805127
2017-03-05,6.12298139,6.12298139,5.41105223,5.56751833,2059.67670725,12146.27951002,5.89717768
2017-03-06,5.9,6.14787531,5.75975896,6.12298138,1643.89186038,9841.40874541,5.98665215
2017-03-07,5.81338661,6.0,5.5,5.95977295,3315.65339135,19437.64851584,5.86238856
2017-03-08,5.33280601,5.76490367,5.3,5.76490367,1340.31944751,7368.27249195,5.49740026
2017-03-09,5.46700635,5.58606725,5.19999999,5.30000001,890.11111648,4852.80860842,5.45191327
2017-03-10,5.95587159,6.0,5.001,5.45555041,4136.37169809,22838.47430507,5.52137863
2017-03-11,6.0,6.15,5.59200001,5.86840187,4865.0236396,29203.70024524,6.00278691
2017-03-12,7.29131684,7.30057632,5.9826923,5.99,5713.67498689,38111.69645169,6.67025977
2017-03-13,7.67244142,8.54969081,7.07,7.34269878,27004.09636223,210823.07097946,7.80707742
2017-03-14,8.38619869,8.85,7.15,7.69788328,12374.32828157,101848.69426389,8.23064427
2017-03-15,9.939280010000001,10.12035972,8.0,8.39886862,11485.0882393,106160.20410671,9.24330766
2017-03-16,9.42953992,10.7,8.24473374,9.96916507,21690.47445618,206369.40288604,9.51428717
2017-03-17,7.84752127,9.58999999,7.31081311,9.57999943,17914.78650951,148605.83430837,8.2951496
2017-03-18,6.80182385,8.016,6.5220938,7.88654313,18892.68462959,137452.13076645,7.2754155
2017-03-19,8.3,8.77777777,6.77,6.80182384,11505.01725135,88490.57471379,7.69147692
2017-03-20,8.1072078,8.73,7.76000001,8.26417662,6923.64068369,56893.85470084,8.21733208
2017-03-21,8.33582107,8.7957,8.05084349,8.1072078,6665.03477187,55821.60505175,8.37529089
2017-03-22,9.133686,9.40000055,7.73,8.33581846,7105.99198244,60567.43947654,8.523432
2017-03-23,9.2861,9.31237,8.1,9.05593973,8953.30321707,79909.41042074,8.9251317
2017-03-24,9.34730196,9.7,8.55,9.31237,10464.16160432,96415.54764712,9.21388175
2017-03-25,8.63075379,9.37299998,8.25,9.07339193,12351.00960471,105964.73714059,8.57943929
2017-03-26,8.6871816,8.99789966,8.32,8.6307538,4020.09584255,34870.96912202,8.67416362
2017-03-27,9.00077493,9.22774395,8.60879213,8.68718159,2604.69205857,23362.83125999,8.96951759
2017-03-28,9.11,9.25,8.50000236,9.02456621,3305.2718995,29694.46266241,8.98396972
2017-03-29,9.28824319,9.55,8.87508852,9.10999999,5061.14535114,46571.13515663,9.20169881
2017-03-30,10.04518285,10.34999999,9.18467902,9.28755118,9165.22677444,90253.81706476,9.84741777
2017-03-31,12.01648576,14.24999991,9.9161,10.04518281,26996.4863346,310714.78385655,11.50945274
2017-04-01,12.74489013,13.75862798,11.556000000000001,11.80000006,11967.15761103,153257.86354501,12.8065384
2017-04-02,11.67168711,13.0158957,11.0,12.74489013,12099.99949637,145888.30935982,12.05688557
2017-04-03,10.89579922,12.25,8.25,11.7,17048.86273848,185172.02503374,10.86125379
2017-04-04,11.03556898,11.16999999,10.2,10.7900005,14735.38827951,156207.82627508,10.60086258
2017-04-05,10.51368084,11.1765815,10.22000005,11.14159997,9119.34454173,97240.94752642,10.66315096
2017-04-06,10.51612,11.09999999,9.36366656,10.5,9122.14665981,94714.89782827,10.38296152
2017-04-07,9.70773295,10.5894785,9.61,10.51612,4706.59512623,46475.40101481,9.87452707
2017-04-08,10.02007641,10.30477833,9.62236791,9.68,5698.4721917,57047.12917276,10.01095157
2017-04-09,10.21,10.91419996,9.99275269,10.07173185,6603.46212735,69109.23427452,10.46560621
2017-04-10,10.33704121,10.49999999,9.95000001,10.26018791,5142.46829413,51826.88751841,10.07821235
2017-04-11,10.23495735,10.718113840000001,10.2,10.32396575,7276.2834835,75934.04673541,10.43582852
2017-04-12,10.81,10.86479999,10.12000276,10.2363543,4591.32705726,48072.21934481,10.47022325
2017-04-13,10.70001001,11.25,10.60000001,10.81,4927.73127523,54033.2935787,10.96514614
2017-04-14,11.19999999,11.2,10.20784486,10.70001007,2876.41357101,30829.63670726,10.71808206
2017-04-15,11.5,11.89260328,10.95000076,11.19999587,18376.65389184,209183.19825634,11.38309506
2017-04-16,11.86565116,12.555,11.44199744,11.5,11835.8569544,140131.08556502,11.83953862
2017-04-17,12.240134340000001,13.0613532,11.7,11.89587693,7725.45172518,94820.70739617,12.2738075
2017-04-18,13.03015736,13.25497239,12.07896216,12.24013435,4666.39515707,59365.16412682,12.72184676
2017-04-19,12.30184409,13.207514,12.01000003,13.0917883,10099.67080745,128588.9408441,12.73199327
2017-04-20,11.95951007,12.88799999,11.6,12.12444531,5503.86812592,65473.86603994,11.89597289
2017-04-21,11.782,12.20778651,11.65,11.95951007,18247.19552629,216768.40866453,11.87954655
2017-04-22,13.1358386,13.48587184,11.63000001,11.78829601,14675.67566451,179355.15899801,12.22125393
2017-04-23,12.98550303,13.70330034,12.44203223,13.1358386,11770.33220191,154115.96757694,13.0935954
2017-04-24,15.0,20.3642999,12.6,12.88420057,25227.84429982,382869.24176884,15.17645492
2017-04-25,14.5000001,16.435,14.12,14.81642486,22722.45767769,337605.19073814,14.85777619
2017-04-26,13.86350993,14.67563502,13.65,14.55999997,25732.64490313,367653.308692,14.28742789
2017-04-27,15.078566,15.40900073,13.71000001,13.86350966,22539.31042569,329623.33550561,14.62437533
2017-04-28,15.65489665,16.47003999,14.2,15.07856599,22796.49090834,347242.43578387,15.23227575
2017-04-29,18.09856061,18.3,15.2533741,15.526764440000001,36700.64684399,606768.83621582,16.5329194
2017-04-30,17.97707706,18.5,17.17,18.189,26330.20792263,472273.53883242,17.93656701
2017-05-01,17.09859824,20.63685913,16.28850094,18.10323219,32115.22744421,590210.52970837,18.37790284
2017-05-02,17.56761933,19.22338814,16.75285131,17.33403309,14097.66536508,251931.48098801,17.87043985
2017-05-03,18.14999997,18.3437,16.86000036,17.40356783,14432.14628303,256551.21931037,17.77637326
2017-05-04,18.16617999,18.83144742,17.19000001,17.93729966,19727.2366903,358976.48804827,18.19699807
2017-05-05,17.30306548,19.59999998,13.95,18.0344276,22635.7564338,410642.73984299,18.14133055
2017-05-06,17.79,18.18761996,16.91600222,17.30306324,8346.67995965,146996.39806192,17.61136149
2017-05-07,17.4900396,18.86841236,17.2,17.79,17640.552589,318924.17252166,18.07903527
2017-05-08,17.4,17.9290039,16.65,17.61999997,15695.00769972,269797.15793719,17.18999844
2017-05-09,16.86999894,17.5,15.06086895,17.25562198,12669.91558511,202810.0653254,16.00721519
2017-05-10,17.21208978,17.36126469,15.35,16.67705469,10811.6741881,176732.36387233,16.34643819
2017-05-11,18.0450255,18.85,17.0,17.21208979,12247.84666208,221166.32870656,18.05756838
2017-05-12,16.98642398,18.32200092,16.65548689,17.89202494,9547.76861336,165967.33859192,17.38284046
2017-05-13,16.47582146,17.51802776,16.0,16.91803059,7301.88677099,123310.10218957,16.88743006
2017-05-14,17.2,17.62572762,16.48,16.58280186,1983.85329944,33803.29607893,17.03921156
2017-05-15,16.35129058,17.5,16.1,17.20000001,4414.69099036,73502.98936932,16.64963403
2017-05-16,14.5498581,16.75,14.5,16.3515693,9749.83696114,152516.15668318,15.64294431
2017-05-17,15.79218803,16.01172686,13.40000003,14.58562105,8300.63127979,122963.51563352,14.81375469
2017-05-18,16.4675942,17.369159,15.301,15.75270755,5727.85963273,93419.00556257,16.3095836
2017-05-19,17.01424663,17.19999996,15.656789,16.40485,7012.01249443,116435.86697654,16.60519958
2017-05-20,17.45006449,18.28882931,16.4,16.81419722,14162.40260866,250760.82392947,17.70609344
2017-05-21,17.23066536,18.37649999,17.00000006,17.68935583,12713.59665394,224129.52348705,17.62912019
2017-05-22,19.43356896,23.0,17.0,17.24807475,21137.03130837,404516.75242115,19.13782245
2017-05-23,28.00000077,32.47574998,19.2525229,19.67018372,39422.9354697,989589.0600622,25.10186134
2017-05-24,26.79999996,32.0,23.70000001,28.26275023,18573.33725969,536364.4197628,28.87819309
2017-05-25,22.12804872,31.51219398,19.0,26.50978138,39189.01515561,967729.03425105,24.69388501
2017-05-26,21.57262938,27.4,19.80000001,23.17088023,22954.03366072,526071.35912188,22.91847118
2017-05-27,19.70550413,21.73441484,13.95037437,20.95388538,39892.09933205,689790.20691711,17.29139901
2017-05-28,19.46183525,23.28999999,18.13973846,19.78840472,15914.20066136,329718.18498201,20.7184886
2017-05-29,20.48731499,21.77699981,18.91234516,19.61688614,14102.51864443,286411.31780452,20.30923163
2017-05-30,19.70001238,23.69999998,19.5,20.48731499,14326.48573964,309750.08952066,21.62080046
2017-05-31,21.19999981,22.0,18.8,19.85474875,14277.44236315,297526.86640042,20.83894711
2017-06-01,22.8044758,24.46313117,20.7,20.9085108,12662.17273574,291424.85081841,23.01539055
2017-06-02,23.64238121,25.2,22.24809684,22.73522057,12890.23300961,304232.42976976,23.60177892
2017-06-03,25.25922689,25.39999999,23.24814891,23.70117736,5796.29042425,141217.07261221,24.3633535
2017-06-04,28.56,28.56,24.64232562,25.00230268,10839.22471653,289711.06468686,26.72802458
2017-06-05,28.0,31.0,27.0,28.6,22095.93281473,642330.62393801,29.07008404
2017-06-06,33.00000008,33.6198104,26.99999998,28.0,18456.45316607,572819.59839048,31.03627729
2017-06-07,33.8,39.0,32.00000008,33.61981019,15807.86127439,558752.94323091,35.3465237
2017-06-08,35.14979944,36.34999999,32.0,34.11946361,6382.16819842,218939.48674416,34.3048757
2017-06-09,34.25,36.28010166,33.59500019,35.14979944,7811.56869716,269985.2336533,34.56222995
2017-06-10,32.97443423,34.89999435,31.37000023,34.08422924,15396.20042751,517859.01273158,33.63550735
2017-06-11,33.66499631,34.5,31.9,32.71381409,9273.74892137,308012.67462436,33.21339376
2017-06-12,30.99999914,34.87430254,25.95,33.00200367,21490.0151974,643279.93751191,29.93389867
2017-06-13,32.89656623,33.49999999,29.59292069,30.9999948,7139.4041715,231226.16712155,32.38731994
2017-06-14,29.25662901,36.11254266,28.23671408,32.47408639,7299.34866254,238609.74275956,32.6891828
2017-06-15,27.93893473,30.99999786,23.18,29.25663345,17560.28265862,471400.33261928,26.84468933
2017-06-16,28.27619424,29.99,26.00000469,27.93893473,8986.42877942,257057.60572563,28.60509019
2017-06-17,31.38861299,31.67801373,27.20000004,27.97132273,7097.02941874,212502.45233443,29.94245053
2017-06-18,29.69425416,32.49999929,28.5912055,31.44801373,5272.13587849,162375.19264712,30.79874957
2017-06-19,32.74474454,32.84999995,29.61958034,29.67733388,7108.02274641,221896.54883697,31.21776009
2017-06-20,30.87090919,32.93,29.5,32.43276373,9148.28558434,288000.99607805,31.4814173
2017-06-21,29.505,32.19183718,28.02,30.87090919,7597.82195454,226341.91347152,29.79036819
2017-06-22,30.59706747,32.29999999,28.63561657,29.72212909,12046.41209505,366742.38758177,30.44411769
2017-06-23,30.97152889,34.3534,30.12692146,30.36946401,17482.88110698,559325.50063274,31.9927532
2017-06-24,28.31720705,31.51808277,27.70612826,31.15890793,5045.70451009,148951.59542458,29.52047531
2017-06-25,26.4277317,29.59178582,25.0,28.31720645,7584.04122406,207325.39424819,27.33706056
2017-06-26,24.12617885,27.03900049,20.52000001,26.68277514,13104.28864241,309110.2610041,23.58848079
2017-06-27,25.24999999,25.39580866,20.52000001,24.26711129,13376.10291201,310517.77475763,23.21436795
2017-06-28,27.15706492,27.9,24.49890178,25.39580856,8596.50153395,228329.52310177,26.56074941
2017-06-29,26.00859213,28.88,25.40596395,27.1570664,10205.98690946,272337.39403646,26.68408224
2017-06-30,27.57501054,30.29729469,25.8745488,26.33187638,16991.126743,480616.42452569,28.2863186
2017-07-01,24.39999688,28.29128341,23.39528053,27.73655372,8174.25145335,207926.49895642,25.43676324
2017-07-02,25.60267733,25.99985955,23.10022142,23.92672221,8215.88376208,198827.14683698,24.2003359
2017-07-03,28.61500045,30.0,24.65398465,25.60267722,8581.51895806,236483.8516099,27.55734186
2017-07-04,28.13958223,29.73299836,27.79674926,28.61499908,2040.02787479,57979.94301922,28.42115234
2017-07-05,27.06477833,27.22684757,25.7,27.22684757,4448.76658467,118170.03016526,26.562425310000002
2017-07-06,27.1491934,27.61760986,26.53333,27.06477833,1814.76955402,49311.51798974,27.17233043
2017-07-07,22.91432041,28.5,20.912837969999998,27.51737842,20191.89009549,486052.74373212,24.07168132
2017-07-08,23.5976,24.10962089,20.74899895,22.9143204,23110.78187581,508021.86150701,21.98202831
2017-07-09,22.0,25.25,22.0,23.59999999,18312.89170811,438097.45611724,23.92289885
2017-07-10,16.3000013,25.49575927,15.40000001,22.00000007,59966.04794478,1138156.2289027,18.98001065
2017-07-11,16.01905414,18.12249189,14.40688729,16.30000127,38935.11637171,638094.47276737,16.38866227
